	shannon
S020.1	4.6101889748
S020.2	5.39506560558
S016.1	5.18222336699
S016.2	5.99326128437
S021.1	4.32117197432
S021.2	4.52060940828
S023.1	5.81511066624
S023.2	5.38972821848
S017.1	2.20187702304
S017.2	4.78864435299
S019.1	5.35874022061
S019.2	4.43133501107
S032.1	5.75322806783
S032.2	5.11150904914
S031.1	6.33215517223
S031.2	5.56674106448
S028.1	5.9385859488
S028.2	5.3192322478
S027.1	5.15990434288
S027.2	4.23481053231
S024.1	2.57463320552
S024.2	4.88112596444
S025.1	5.69543913813
S025.2	5.61429688202
S022.1	2.92346075356
S022.2	5.86556091106
S026.1	4.3013968225
S026.2	4.60379149322
S029.1	5.51995790119
S029.2	5.14280390247
S018.1	5.07332444765
S018.2	5.64738044359
S030.1	4.95538937276
S030.2	4.89505501924
S005.1	3.68974755971
S006.1	3.64648156813
S013.1	3.70323807763
S014.1	3.67988354007
S007.1	3.07682523714
S007.2	1.82404291634
S008.1	3.19461229496
S008.2	2.21964390428
G001.1	2.83077002559
G001.2	5.7120118244
Sed1.1	6.12887458606
Sed1.2	6.31593210076
Sed2.1	6.23169401925
Sed2.2	2.48967849758
Sed3.1	4.83197902281
Sed3.2	5.15588238075
Sed4.1	5.25383106677
Sed4.2	5.38635816918
Soil1.1	7.8359692449
Soil1.2	7.56750703949
Soil2.1	7.86562107329
Soil2.2	8.20658065127
Soil3.1	6.81000357031
Soil3.2	7.56051019165
Soil5.1	7.81603030547
Soil5.2	7.93893987082
Soil6.1	7.44125109023
Soil6.2	7.02969140077
Soil7.1	7.8082402623
Soil7.2	7.06174119981
Soil8.1	4.34316061906
Soil8.2	5.32690542029
