	shannon
S020.1	4.81520176011
S020.2	4.8437238019
S038.1	4.70864749943
S038.2	4.44793837083
S064.1	5.48017728467
S064.2	5.43269338859
S083.1	4.53942127068
S083.2	4.3401813738
S016.1	5.85843522834
S016.2	5.8926377433
S037.1	4.87345762673
S037.2	5.00108270358
S066.1	4.99518411861
S066.2	4.89897141606
S073.1	6.14416911429
S073.2	6.66575945621
S021.1	3.56553044143
S021.2	3.5378954619
S045.1	5.3240488133
S045.2	5.28425904378
S056.1	4.97409402401
S056.2	3.96019144429
S080.1	3.76853855445
S080.2	4.49279954682
S023.1	4.94127125639
S023.2	4.90043848015
S047.1	2.36650637329
S047.2	3.10873805321
S057.1	2.65806847147
S057.2	4.75932148968
S079.1	3.5476136757
S079.2	3.77760135894
S017.1	4.81928613911
S017.2	5.08210074028
S063.1	4.86161744512
S044.1	5.12290385538
S044.2	5.16909399671
S063.2	3.47355314292
S071.1	4.19978457008
S071.2	4.45392617679
S019.1	4.79579232388
S019.2	4.45630825788
S039.1	3.53171283498
S039.2	3.28282422967
S061.1	3.30078985609
S061.2	3.70893381074
S072.1	4.07423523424
S072.2	4.91554996951
S032.1	4.89176034079
S032.2	4.72795835658
S036.1	3.73166407814
S036.2	4.18316621546
S052.1	4.59300973671
S052.2	4.51478603684
S085.1	4.89178082369
S085.2	4.84739037825
S031.1	5.10895288849
S031.2	4.3523589478
S035.1	3.8801519556
S035.2	3.92362373455
S051.1	4.52823326656
S051.2	5.13944559955
S084.1	3.84279893283
S084.2	3.85437791442
S028.1	4.55978215854
S028.2	4.68006717999
S034.1	4.39194672227
S034.2	4.45782104348
S053.1	3.90975095668
S053.2	4.92226680827
S077.1	4.60917308504
S077.2	5.38119106225
S027.1	5.17780431396
S027.2	3.93563548042
S041.1	2.95518137326
S041.2	1.32751044544
S065.1	5.33079381112
S065.2	2.88108556816
S074.1	5.01740760119
S074.2	4.56228495479
S024.1	2.59395215216
S024.2	4.29059740676
S046.1	4.04942193966
S046.2	3.15928519744
S058.1	4.61563623138
S058.2	5.78289891163
S081.1	5.26031228164
S081.2	4.91970368995
S025.1	5.60256327118
S025.2	5.55218231458
S049.1	4.79945723175
S049.2	5.28139908379
S059.1	5.49471308442
S059.2	5.23852030731
S082.1	4.16971771064
S082.2	4.41867684735
S022.1	5.04979655118
S022.2	4.85210497974
S048.1	5.7064640851
S048.2	4.79586908585
S060.1	5.33676126681
S060.2	4.9897863903
S078.1	3.78348715028
S078.2	4.93159754038
S026.1	3.79833471157
S026.2	4.24207831112
S040.1	4.19665057596
S040.2	3.61424354978
S050.1	3.68407598045
S050.2	3.90564851656
S086.1	3.79069144844
S086.2	3.27646678436
S029.1	4.77729384354
S029.2	4.44969287126
S033.1	4.57062146211
S033.2	4.8484403254
S054.1	4.18261320074
S054.2	4.26656805335
S076.1	4.08597871655
S076.2	5.3292604901
S018.1	5.01395770452
S018.2	5.05078980023
S062.1	5.58488056057
S062.2	4.53884636211
S070.1	5.94385620561
S070.2	5.1289821401
S043.1	5.41626235652
S043.2	4.96474451821
S030.1	5.89016627589
S030.2	5.410893475
S042.1	4.59561153519
S042.2	4.83767595998
S055.1	5.18466695249
S055.2	5.85645674629
S075.1	5.11009166302
S075.2	4.52606098562
